job_id,company_name,job_title,location,experience_required,min_skill_level,max_skill_level,salary_lpa,jobs_posted_date,job_status,source_system,event_status,skill_threshold_met
JOB1001,InnoSoft,Data Scientist,Bengaluru,5.0,36.0,53.0,6.7,2026-01-01,Active,Mobile,success,Yes
JOB1002,CloudCore,Data Analyst,Chennai,1.0,89.0,89.0,4.5,2026-01-02,Active,Web,success,No
JOB1003,BrightWorks,Data Analyst,Patna,2.0,19.0,53.0,3.7,2026-01-03,Closed,Web,success,No
JOB1004,HealthSync,Python Developer,Mumbai,0.0,20.0,74.0,13.9,2026-01-04,Active,Mobile,success,Yes
JOB1005,InnoSoft,BI Analyst,Hyderabad,6.0,52.0,52.0,6.5,2026-01-05,Closed,Web,failed,Yes
JOB1006,Unknown,Business Analyst,Mumbai,3.0,18.0,81.0,11.9,2026-01-06,Active,Web,success,Yes
JOB1007,FinEdge,Data Scientist,Patna,1.0,47.0,52.0,5.8,2026-01-07,Active,Web,success,Yes
JOB1008,InnoSoft,SQL Developer,Pune,4.0,49.0,76.0,10.5,2026-01-08,Active,Web,success,Yes
JOB1009,BrightWorks,Business Analyst,Pune,1.0,14.0,78.0,11.4,2026-01-09,Closed,Web,failed,Yes
JOB1010,HealthSync,BI Analyst,Mumbai,4.0,15.0,81.0,9.6,2026-01-10,Closed,Web,failed,Yes
JOB1011,CloudCore,SQL Developer,Delhi,2.0,31.0,99.0,8.2,2026-01-11,Closed,Web,success,No
JOB1012,BrightWorks,Python Developer,Chennai,4.0,1.0,100.0,7.5,2026-01-12,Active,Web,failed,No
JOB1013,BrightWorks,Python Developer,Unknown,3.0,54.0,68.0,6.8,2026-01-13,Closed,Admin,failed,No
JOB1014,FinEdge,Data Analyst,Mumbai,0.0,3.0,70.0,13.2,2026-01-14,Active,Web,success,Yes
JOB1015,MarketPulse,BI Analyst,Bengaluru,4.0,16.0,54.0,12.1,2026-01-15,Active,Web,success,Yes
JOB1016,HealthSync,Data Scientist,Bengaluru,4.0,67.0,67.0,13.6,2026-01-16,Closed,Mobile,failed,Yes
JOB1017,DataBridge,SQL Developer,Chennai,0.0,57.0,77.0,4.4,2026-01-17,Active,Web,success,No
JOB1018,BrightWorks,Business Analyst,Chennai,3.0,75.0,91.0,11.0,2026-01-18,Active,Admin,success,Yes
JOB1019,MarketPulse,BI Analyst,Pune,1.0,12.0,71.0,13.3,2026-01-19,Active,Mobile,success,No
JOB1020,DataBridge,BI Analyst,Delhi,4.0,70.0,70.0,5.0,2026-01-20,Active,Web,success,Yes
JOB1021,HealthSync,Python Developer,Patna,0.0,55.0,55.0,8.5,2026-01-21,Active,Web,success,Yes
JOB1022,TechNova,Data Analyst,Bengaluru,2.0,16.0,50.0,11.2,2026-01-22,Active,Mobile,success,No
JOB1023,EduSphere,Data Analyst,Chennai,0.0,54.0,54.0,9.3,2026-01-23,Active,Admin,success,Yes
JOB1024,MarketPulse,SQL Developer,Pune,2.0,76.0,90.0,12.3,2026-01-24,Closed,Web,success,No
JOB1025,RetailPro,Python Developer,Hyderabad,3.0,24.0,61.0,4.5,2026-01-25,Closed,Mobile,failed,No
JOB1026,TechNova,BI Analyst,Pune,1.0,28.0,75.0,11.7,2026-01-26,Active,Web,failed,Yes
JOB1027,EduSphere,Data Scientist,Bengaluru,0.0,8.0,95.0,5.2,2026-01-27,Active,Admin,failed,Yes
JOB1028,FinEdge,Python Developer,Bengaluru,6.0,83.0,83.0,4.8,2026-01-28,Active,Web,success,Yes
JOB1029,InnoSoft,SQL Developer,Pune,6.0,36.0,98.0,4.8,2026-01-29,Active,Admin,success,No
JOB1030,CloudCore,SQL Developer,Patna,5.0,63.0,63.0,12.0,2026-01-30,Active,Mobile,failed,Yes
JOB1031,RetailPro,Python Developer,Mumbai,4.0,8.0,75.0,10.3,2026-01-31,Active,Mobile,success,Yes
JOB1032,FinEdge,SQL Developer,Bengaluru,3.0,58.0,94.0,8.8,2026-02-01,Active,Web,failed,Yes
JOB1033,HealthSync,Python Developer,Pune,0.0,60.0,76.0,6.9,2026-02-02,Active,Web,success,No
JOB1034,FinEdge,Business Analyst,Chennai,6.0,50.0,58.0,12.6,2026-02-03,Active,Web,success,Yes
JOB1035,InnoSoft,Python Developer,Pune,4.0,28.0,75.0,7.3,2026-02-04,Active,Web,success,No
JOB1036,HealthSync,Python Developer,Delhi,6.0,92.0,96.0,12.0,2026-02-05,Draft,Web,success,No
JOB1037,RetailPro,SQL Developer,Mumbai,0.0,41.0,71.0,7.8,2026-02-06,Closed,Mobile,success,Yes
JOB1038,Unknown,SQL Developer,Hyderabad,2.0,96.0,96.0,7.1,2026-02-07,Active,Web,success,Yes
JOB1039,DataBridge,Data Analyst,Patna,0.0,64.0,79.0,8.1,2026-02-08,Closed,Web,failed,No
JOB1040,CloudCore,Data Analyst,Hyderabad,5.0,27.0,92.0,6.3,2026-02-09,Active,Admin,failed,Yes
JOB1041,RetailPro,Business Analyst,Mumbai,0.0,63.0,97.0,11.2,2026-02-10,Closed,Mobile,success,No
JOB1042,DataBridge,Data Analyst,Mumbai,0.0,17.0,66.0,8.5,2026-02-11,Closed,Admin,failed,Yes
JOB1043,EduSphere,Python Developer,Mumbai,5.0,73.0,75.0,5.6,2026-02-12,Active,Admin,success,Yes
JOB1044,RetailPro,SQL Developer,Hyderabad,3.0,33.0,85.0,12.9,2026-02-13,Active,Web,success,No
JOB1045,EduSphere,Data Analyst,Chennai,0.0,50.0,50.0,7.2,2026-02-14,Active,Web,failed,Yes
JOB1046,HealthSync,Data Analyst,Mumbai,5.0,57.0,57.0,9.0,2026-02-15,Active,Mobile,success,Yes
JOB1047,DataBridge,Business Analyst,Pune,4.0,92.0,98.0,13.0,2026-02-16,Active,Mobile,success,Yes
JOB1048,CloudCore,BI Analyst,Hyderabad,2.0,29.0,84.0,9.9,2026-02-17,Active,Web,success,Yes
JOB1049,InnoSoft,Business Analyst,Mumbai,2.0,13.0,64.0,4.3,2026-02-18,Active,Mobile,failed,Yes
JOB1050,BrightWorks,Python Developer,Pune,0.0,46.0,96.0,13.3,2026-02-19,Closed,Web,success,Yes
JOB1051,FinEdge,SQL Developer,Chennai,3.0,35.0,71.0,9.9,2026-02-20,Draft,Web,success,No
JOB1052,TechNova,Business Analyst,Delhi,3.0,6.0,63.0,6.7,2026-02-21,Active,Web,success,Yes
JOB1053,CloudCore,Data Analyst,Chennai,4.0,75.0,75.0,4.5,2026-02-22,Active,Web,success,Yes
JOB1054,DataBridge,SQL Developer,Mumbai,0.0,69.0,77.0,11.7,2026-02-23,Active,Mobile,success,Yes
JOB1055,BrightWorks,SQL Developer,Hyderabad,2.0,47.0,72.0,9.8,2026-02-24,Active,Web,failed,No
JOB1056,CloudCore,Data Analyst,Bengaluru,3.0,25.0,63.0,8.9,2026-02-25,Draft,Mobile,success,Yes
JOB1057,DataBridge,Business Analyst,Mumbai,0.0,66.0,73.0,12.8,2026-02-26,Active,Web,success,No
JOB1058,MarketPulse,Data Analyst,Bengaluru,6.0,10.0,51.0,11.7,2026-02-27,Active,Web,success,Yes
JOB1059,MarketPulse,BI Analyst,Pune,3.0,56.0,94.0,4.7,2026-02-28,Active,Mobile,success,Yes
JOB1060,EduSphere,SQL Developer,Delhi,5.0,30.0,75.0,6.4,2026-03-01,Active,Admin,failed,Yes
JOB1061,CloudCore,Data Scientist,Patna,6.0,5.0,63.0,5.7,2026-03-02,Closed,Mobile,success,Yes
JOB1062,MarketPulse,Data Scientist,Chennai,3.0,33.0,100.0,11.2,2026-03-03,Closed,Mobile,success,Yes
JOB1063,DataBridge,Python Developer,Delhi,2.0,56.0,56.0,3.4,2026-03-04,Active,Mobile,failed,Yes
JOB1064,EduSphere,Data Analyst,Mumbai,1.0,18.0,52.0,9.3,2026-03-05,Active,Mobile,unknown,No
JOB1065,DataBridge,Data Analyst,Bengaluru,6.0,96.0,96.0,11.4,2026-03-06,Active,Web,success,Yes
JOB1066,EduSphere,Python Developer,Chennai,4.0,49.0,72.0,12.6,2026-03-07,Draft,Web,success,Yes
JOB1067,CloudCore,Python Developer,Bengaluru,4.0,11.0,95.0,6.8,2026-03-08,Closed,Web,failed,Yes
JOB1068,BrightWorks,Python Developer,Hyderabad,2.0,85.0,92.0,12.0,2026-03-09,Active,Web,success,No
JOB1069,InnoSoft,SQL Developer,Bengaluru,3.0,26.0,96.0,4.2,2026-03-10,Active,Mobile,success,Yes
JOB1070,RetailPro,BI Analyst,Hyderabad,0.0,63.0,94.0,12.3,2026-03-11,Closed,Web,failed,Yes
JOB1071,BrightWorks,Data Analyst,Pune,3.0,67.0,67.0,4.4,2026-03-12,Active,Web,success,Yes
JOB1072,HealthSync,SQL Developer,Chennai,2.0,86.0,87.0,7.4,2026-03-13,Draft,Web,success,No
JOB1073,DataBridge,Python Developer,Chennai,4.0,59.0,84.0,11.8,2026-03-14,Active,Mobile,failed,Yes
JOB1074,HealthSync,Data Analyst,Patna,3.0,27.0,100.0,4.6,2026-03-15,Active,Web,success,Yes
JOB1075,BrightWorks,SQL Developer,Unknown,4.0,49.0,64.0,5.5,2026-03-16,Active,Mobile,failed,No
JOB1076,EduSphere,BI Analyst,Hyderabad,6.0,74.0,74.0,10.9,2026-03-17,Active,Web,success,No
JOB1077,RetailPro,SQL Developer,Patna,0.0,33.0,86.0,10.9,2026-03-18,Active,Web,success,Yes
JOB1078,RetailPro,BI Analyst,Bengaluru,6.0,77.0,77.0,10.1,2026-03-19,Closed,Mobile,failed,No
JOB1079,TechNova,Python Developer,Bengaluru,4.0,59.0,59.0,10.6,2026-03-20,Active,Mobile,failed,Yes
JOB1080,RetailPro,BI Analyst,Patna,4.0,1.0,88.0,9.0,2026-03-21,Active,Web,success,Yes
JOB1081,InnoSoft,Data Analyst,Chennai,1.0,21.0,66.0,5.8,2026-03-22,Active,Mobile,success,Yes
JOB1082,RetailPro,Python Developer,Bengaluru,1.0,55.0,88.0,6.8,2026-03-23,Active,Mobile,failed,Yes
JOB1083,BrightWorks,Data Analyst,Pune,6.0,6.0,71.0,5.0,2026-03-24,Active,Web,failed,Yes
JOB1084,TechNova,Data Scientist,Pune,5.0,75.0,75.0,13.0,2026-03-25,Active,Mobile,success,No
JOB1085,BrightWorks,Business Analyst,Patna,6.0,81.0,93.0,9.4,2026-03-26,Closed,Mobile,failed,Yes
JOB1086,BrightWorks,BI Analyst,Hyderabad,1.0,69.0,74.0,7.4,2026-03-27,Active,Mobile,success,Yes
JOB1087,FinEdge,Business Analyst,Hyderabad,4.0,66.0,66.0,8.1,2026-03-28,Active,Mobile,success,Yes
JOB1088,TechNova,Business Analyst,Patna,2.0,5.0,62.0,13.4,2026-03-29,Active,Mobile,success,No
JOB1089,BrightWorks,BI Analyst,Hyderabad,6.0,3.0,69.0,8.5,2026-03-30,Closed,Mobile,success,Yes
JOB1090,FinEdge,Python Developer,Chennai,4.0,53.0,74.0,9.4,2026-03-31,Draft,Mobile,success,Yes
JOB1091,FinEdge,Data Scientist,Chennai,2.0,23.0,53.0,8.6,2026-04-01,Closed,Mobile,success,Yes
JOB1092,Unknown,Data Analyst,Hyderabad,2.0,53.0,59.0,9.7,2026-04-02,Active,Mobile,success,Yes
JOB1093,HealthSync,SQL Developer,Pune,1.0,37.0,52.0,3.2,2026-04-03,Active,Mobile,success,No
JOB1094,EduSphere,Data Analyst,Hyderabad,6.0,74.0,90.0,12.6,2026-04-04,Active,Mobile,success,No
JOB1095,InnoSoft,SQL Developer,Chennai,3.0,74.0,94.0,13.3,2026-04-05,Active,Web,failed,Yes
JOB1096,EduSphere,Data Analyst,Delhi,0.0,67.0,67.0,9.2,2026-04-06,Active,Mobile,success,No
JOB1097,RetailPro,BI Analyst,Mumbai,1.0,17.0,96.0,10.7,2026-04-07,Active,Mobile,success,Yes
JOB1098,InnoSoft,Data Scientist,Bengaluru,1.0,85.0,85.0,13.1,2026-04-08,Active,Web,success,No
